2025-02-10 00:45:00,180 DEBUG:Days list: ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']
2025-02-10 00:45:00,207 DEBUG:=== 試行回数 1 ===
2025-02-10 00:45:00,225 DEBUG:[fill_len2_cat3] Assigned 国語総合II -> Monday, p=0
2025-02-10 00:45:00,226 DEBUG:[fill_len2_cat3] Assigned 国語総合II -> Tuesday, p=0
2025-02-10 00:45:00,226 DEBUG:[fill_len2_cat3] Assigned 総合英語演習II -> Tuesday, p=0
2025-02-10 00:45:00,226 DEBUG:[fill_len2_cat3] Assigned 数学IIB -> Tuesday, p=0
2025-02-10 00:45:00,227 DEBUG:[fill_len2_cat3] Assigned 工作実習I -> Tuesday, p=0
2025-02-10 00:45:00,227 DEBUG:[fill_len2_cat3] Assigned 化学基礎 -> Tuesday, p=0
2025-02-10 00:45:00,227 DEBUG:[fill_len2_cat3] Assigned 化学I -> Tuesday, p=0
2025-02-10 00:45:00,228 DEBUG:[fill_len2_cat3] Assigned 工学実験II -> Tuesday, p=0
2025-02-10 00:45:00,228 DEBUG:[fill_len2_cat3] Assigned 基礎プログラミングI -> Tuesday, p=0
2025-02-10 00:45:00,229 DEBUG:[fill_len2_cat3] Assigned 設計製図Ⅲ -> Tuesday, p=0
2025-02-10 00:45:00,229 DEBUG:[fill_len2_cat3] Assigned 哲学 -> Tuesday, p=0
2025-02-10 00:45:00,230 DEBUG:[fill_len2_cat3] Assigned 英会話 -> Wednesday, p=0
2025-02-10 00:45:00,230 DEBUG:[fill_len2_cat3] Assigned 情報数学 -> Wednesday, p=0
2025-02-10 00:45:00,231 DEBUG:[fill_len2_cat3] Assigned 工学実験II -> Wednesday, p=0
2025-02-10 00:45:00,231 DEBUG:[fill_len2_cat3] Assigned 国語総合II -> Wednesday, p=0
2025-02-10 00:45:00,231 DEBUG:[fill_len2_cat3] Assigned 総合英語演習II -> Wednesday, p=0
2025-02-10 00:45:00,232 DEBUG:[fill_len2_cat3] Assigned 化学I -> Wednesday, p=0
2025-02-10 00:45:00,232 DEBUG:[fill_len2_cat3] Assigned 化学基礎 -> Wednesday, p=0
2025-02-10 00:45:00,232 DEBUG:[fill_len2_cat3] Assigned オペレーティングシステムII -> Wednesday, p=0
2025-02-10 00:45:00,233 DEBUG:[fill_len2_cat3] Assigned 微分積分学I -> Wednesday, p=0
2025-02-10 00:45:00,233 DEBUG:[fill_len2_cat3] Assigned 建築デザイン概論 -> Wednesday, p=0
2025-02-10 00:45:00,234 DEBUG:[fill_len2_cat3] Assigned 情報処理 -> Wednesday, p=0
2025-02-10 00:45:00,234 DEBUG:[fill_len2_cat3] Assigned 工学デザインII -> Wednesday, p=0
2025-02-10 00:45:00,235 DEBUG:[fill_len2_cat3] Assigned 倫理 -> Wednesday, p=0
2025-02-10 00:45:00,236 DEBUG:[fill_len2_cat3] Assigned 基礎電気電子回路 -> Wednesday, p=0
2025-02-10 00:45:00,236 DEBUG:[fill_len2_cat3] Assigned 鉄筋コンクリート工学 -> Wednesday, p=0
2025-02-10 00:45:00,238 DEBUG:[fill_len2_cat3] Assigned コンピュータシステム概論 -> Thursday, p=0
2025-02-10 00:45:00,238 DEBUG:[fill_len2_cat3] Assigned コンピュータ基礎 -> Thursday, p=0
2025-02-10 00:45:00,238 DEBUG:[fill_len2_cat3] Assigned 化学基礎 -> Thursday, p=0
2025-02-10 00:45:00,238 DEBUG:[fill_len2_cat3] Assigned コンピュータ工学 -> Thursday, p=0
2025-02-10 00:45:00,239 DEBUG:[fill_len2_cat3] Assigned 工学デザインI -> Thursday, p=0
2025-02-10 00:45:00,239 DEBUG:[fill_len2_cat3] Assigned 熱力学 -> Thursday, p=0
2025-02-10 00:45:00,240 DEBUG:[fill_len2_cat3] Assigned フーリエ・ラプラス変換 -> Thursday, p=0
2025-02-10 00:45:00,240 DEBUG:[fill_len2_cat3] Assigned 国語総合II -> Thursday, p=0
2025-02-10 00:45:00,240 DEBUG:[fill_len2_cat3] Assigned 数学IB -> Thursday, p=0
2025-02-10 00:45:00,241 DEBUG:[fill_len2_cat3] Assigned 建築計画I -> Thursday, p=0
2025-02-10 00:45:00,241 DEBUG:[fill_len2_cat3] Assigned 物理I -> Thursday, p=0
2025-02-10 00:45:00,242 DEBUG:[fill_len2_cat3] Assigned アルゴリズムとデータ構造 -> Friday, p=0
